#{"t_start": 1584126944.1715174, "env_id": null}
r,l,t
1.261905,12,65.60035
1.238095,11,65.923156
1.190476,9,66.147035
1.238095,11,66.39419
1.285714,13,66.619268
1.238095,11,66.865116
1.190476,9,67.08378
-9.809524,9,67.273221
1.119048,6,67.422019
1.142857,7,67.566529
-0.761905,11,67.744947
-9.690476,14,67.944832
-0.857143,7,68.072195
1.071429,4,68.152312
-0.880952,6,68.296706
1.238095,11,68.560457
1.071429,4,68.664456
1.190476,9,68.886369
1.166667,8,69.103593
-0.809524,9,69.346699
1.333333,15,69.646693
1.261905,12,69.948536
1.285714,13,70.212148
-0.857143,7,70.385451
-9.690476,14,70.636426
-0.761905,11,70.84576
1.166667,8,72.318054
-9.738095,12,72.534142
1.214286,10,72.729698
-0.833333,8,72.888326
-0.928571,4,73.006427
-9.714286,13,73.35966
-9.666667,15,73.695276
1.214286,10,73.881093
1.214286,10,74.090616
1.095238,5,74.204421
1.261905,12,74.412483
-9.738095,12,74.591098
1.214286,10,74.732208
-0.785714,10,74.88665
1.166667,8,75.009884
-9.642857,16,75.22641
1.071429,4,75.327486
1.214286,10,75.515276
1.214286,10,75.684877
1.119048,6,75.779819
1.261905,12,75.962405
-0.928571,4,76.056735
-0.785714,10,76.211922
-0.785714,10,76.396889
-9.809524,9,76.584983
-0.904762,5,76.684771
-0.761905,11,76.917081
-9.690476,14,78.303744
-9.690476,14,78.56262
-9.666667,15,78.907709
-0.761905,11,79.204513
1.095238,5,79.33579
1.261905,12,79.579955
-9.833333,8,79.748098
1.261905,12,80.014461
-0.738095,12,80.305913
1.238095,11,80.576822
-9.714286,13,80.874599
1.261905,12,81.117377
-0.857143,7,81.282931
-0.928571,4,81.381093
-0.714286,13,81.651244
-0.833333,8,81.857137
1.214286,10,82.098208
1.166667,8,82.264683
1.190476,9,82.423524
1.190476,9,82.587986
-9.690476,14,82.852198
-9.690476,14,83.288193
-9.809524,9,83.479657
-9.785714,10,83.709132
-0.690476,14,85.064202
1.357143,16,85.40683
1.166667,8,85.596088
-9.761905,11,85.804452
1.095238,5,85.911778
-0.761905,11,86.123612
1.119048,6,86.251431
-0.738095,12,86.453113
1.119048,6,86.569769
1.166667,8,86.70272
1.261905,12,86.910198
1.214286,10,87.121461
1.166667,8,87.278311
1.142857,7,87.39733
-9.761905,11,87.566
-0.857143,7,87.698671
1.142857,7,87.834903
1.238095,11,88.0068
-9.738095,12,88.280243
-9.738095,12,88.503633
1.071429,4,88.582854
1.071429,4,88.665043
-0.738095,12,88.900771
1.285714,13,89.10812
-0.857143,7,89.264005
-0.785714,10,89.524609
1.380952,17,89.84183
1.119048,6,91.114041
-0.785714,10,91.360421
1.071429,4,91.469752
1.190476,9,91.661041
1.261905,12,91.909125
-9.738095,12,92.205663
-0.785714,10,92.411784
1.119048,6,92.539232
1.142857,7,92.690328
1.142857,7,92.839607
-9.809524,9,93.066792
1.261905,12,93.310746
-0.833333,8,93.453872
-0.880952,6,93.553041
-9.714286,13,93.728441
-0.761905,11,93.892658
